"Date","PM10"
"10/05/2024","24.49"
"11/05/2024","14.85"
"12/05/2024","11.06"
"13/05/2024","15.56"
"14/05/2024","17.1"
"15/05/2024","22.01"
"16/05/2024","20.82"
"17/05/2024","20.54"
"18/05/2024","12.87"
"19/05/2024","13.33"
"20/05/2024","17.38"
"21/05/2024","19.85"
"22/05/2024","21.3"
"23/05/2024","15.25"
"24/05/2024","19.7"
"25/05/2024","15.08"
"26/05/2024","14.03"
"27/05/2024","21.42"
"28/05/2024","23.22"
"29/05/2024","23.07"
"30/05/2024","21.49"
"31/05/2024","20.28"
"01/06/2024","13.34"
"02/06/2024","10.81"
"03/06/2024","20.14"
"04/06/2024","12.92"
"05/06/2024","21.98"
"06/06/2024","18.66"
"07/06/2024","15.01"
"08/06/2024","18.57"
"09/06/2024","18.51"
"10/06/2024","23.28"
"11/06/2024","23.05"
"12/06/2024","16.88"
"13/06/2024","16.41"
"14/06/2024","16.61"
"15/06/2024","16.39"
"16/06/2024","18.68"
"17/06/2024","14.57"
"18/06/2024","19.88"
"19/06/2024","22.16"
"20/06/2024","12.06"
"21/06/2024","26.75"
"22/06/2024","17.7"
"23/06/2024","14.76"
"24/06/2024","13.92"
"25/06/2024","16.8"
"26/06/2024","23.62"
"27/06/2024","26.42"
"28/06/2024","25.44"
"29/06/2024","26.31"
"30/06/2024","24.58"
"01/07/2024","18.16"
"02/07/2024","15.07"
"03/07/2024","15.26"
"04/07/2024","12.48"
"05/07/2024","13.03"
"06/07/2024","15.61"
"07/07/2024","12.7"
"08/07/2024","20.21"
"09/07/2024","25.94"
"10/07/2024","35.08"
"11/07/2024","26.37"
"12/07/2024","29.14"
"13/07/2024","14.26"
"14/07/2024","12.88"
"15/07/2024","21.01"
"16/07/2024","22.49"
"17/07/2024","21.07"
"18/07/2024","15.58"
"19/07/2024","19.76"
"20/07/2024","19.85"
"21/07/2024","20.67"
"22/07/2024","22.5"
"23/07/2024","14.76"
"24/07/2024","16.04"
"25/07/2024","13.08"
"26/07/2024","19.74"
"27/07/2024","21.12"
"28/07/2024","16.11"
"29/07/2024","12.87"
"30/07/2024","17.03"
"31/07/2024","24.51"
"01/08/2024","24.35"
"02/08/2024","23.38"
"03/08/2024","11.29"
"04/08/2024","14.12"
"05/08/2024","12.51"
"06/08/2024","12.76"
"07/08/2024","19.95"
"08/08/2024","20.41"
"09/08/2024","16.99"
"10/08/2024","21.15"
"11/08/2024","18.09"
"12/08/2024","18.07"
"13/08/2024","20.44"
"14/08/2024","20.48"
"15/08/2024","23.57"
"16/08/2024","29.29"
"17/08/2024","20.63"
"18/08/2024","16.7"
"19/08/2024","14.32"
"20/08/2024","15.86"
"21/08/2024","18.86"
"22/08/2024","19.12"
"23/08/2024","21.1"
"24/08/2024","25.73"
"25/08/2024","20.26"
"26/08/2024","12.48"
"27/08/2024","20.52"
"28/08/2024","27.88"
"29/08/2024","34.12"
"30/08/2024","36.76"
"31/08/2024","32.69"
"01/09/2024","17.06"
"02/09/2024","28.45"
"03/09/2024","35.11"
"04/09/2024","42.17"
"05/09/2024","36.8"
"06/09/2024","36.55"
"07/09/2024","26.37"
"08/09/2024","25.57"
"09/09/2024","25.57"
"10/09/2024","13.15"
"11/09/2024","17.81"
"12/09/2024","19.66"
"13/09/2024","13.28"
"14/09/2024","11.38"
"15/09/2024","8.69"
"16/09/2024","30.06"
"17/09/2024","47.02"
"18/09/2024","38.84"
"19/09/2024","33.7"
"20/09/2024","35.52"
"21/09/2024","34.88"
"22/09/2024","40.06"
"23/09/2024","30.59"
"24/09/2024","30.42"
"25/09/2024","-"
"26/09/2024","-"
"27/09/2024","11.15"
"28/09/2024","10.23"
"29/09/2024","10.47"
"30/09/2024","14.8"
"01/10/2024","20.07"
"02/10/2024","20.59"
"03/10/2024","18.45"
"04/10/2024","20.81"
"05/10/2024","7.73"
"06/10/2024","12.92"
"07/10/2024","24.48"
"08/10/2024","22.6"
"09/10/2024","31.81"
"10/10/2024","17.98"
"11/10/2024","13.43"
"12/10/2024","21.75"
"13/10/2024","16.79"
"14/10/2024","18.21"
"15/10/2024","32.31"
"16/10/2024","30.6"
"17/10/2024","17.85"
"18/10/2024","20.39"
"19/10/2024","19.65"
"20/10/2024","30.85"
"21/10/2024","42.14"
"22/10/2024","44.12"
"23/10/2024","26.02"
"24/10/2024","36.77"
"25/10/2024","44.78"
"26/10/2024","42.44"
"27/10/2024","41.41"
"28/10/2024","27.58"
"29/10/2024","29.45"
"30/10/2024","33.73"
"31/10/2024","19.77"
"01/11/2024","15.53"
"02/11/2024","17.18"
"03/11/2024","31.71"
"04/11/2024","24"
"05/11/2024","27.87"
"06/11/2024","41"
"07/11/2024","83.32"
"08/11/2024","39.61"
"09/11/2024","33.77"
"10/11/2024","34.23"
"11/11/2024","46.94"
"12/11/2024","36.27"
"13/11/2024","26.82"
"14/11/2024","21.16"
"15/11/2024","22.21"
"16/11/2024","41.66"
"17/11/2024","37.58"
"18/11/2024","10.52"
"19/11/2024","18.75"
"20/11/2024","11.87"
"21/11/2024","13.38"
"22/11/2024","23.82"
"23/11/2024","18.44"
"24/11/2024","32.34"
"25/11/2024","42.63"
"26/11/2024","41.25"
"27/11/2024","31.03"
"28/11/2024","28.02"
"29/11/2024","9.03"
"30/11/2024","22.22"
"01/12/2024","27.42"
"02/12/2024","39.25"
"03/12/2024","54.45"
"04/12/2024","45.7"
"05/12/2024","60.7"
"06/12/2024","32.57"
"07/12/2024","20.68"
"08/12/2024","27.9"
"09/12/2024","14.34"
"10/12/2024","8.3"
"11/12/2024","22.79"
"12/12/2024","27.27"
"13/12/2024","34.24"
"14/12/2024","32.8"
"15/12/2024","13.8"
"16/12/2024","5.38"
"17/12/2024","8.21"
"18/12/2024","24.57"
"19/12/2024","53.13"
"20/12/2024","15.22"
"21/12/2024","25.99"
"22/12/2024","15.44"
"23/12/2024","19.24"
"24/12/2024","16.61"
"25/12/2024","13.4"
"26/12/2024","35.8"
"27/12/2024","51.7"
"28/12/2024","48.29"
"29/12/2024","65.21"
"30/12/2024","59.55"
"31/12/2024","53.86"
